学期ID,教师ID,学科ID,班级ID
3,224,1,708
3,94,2,708
3,134,3,708
3,151,4,708
3,253,6,708
3,262,9,708
3,329,12,708
3,154,13,708
3,181,17,708
3,108,58,708
3,224,1,709
3,94,2,709
3,108,3,709
3,151,4,709
3,161,5,709
3,253,6,709
3,262,9,709
3,329,12,709
3,152,13,709
3,181,17,709
3,103,58,709
3,66,1,710
3,78,2,710
3,26,3,710
3,141,4,710
3,164,5,710
3,314,6,710
3,262,9,710
3,329,12,710
3,152,13,710
3,178,17,710
3,66,1,711
3,78,2,711
3,26,3,711
3,141,4,711
3,164,5,711
3,314,6,711
3,262,9,711
3,329,12,711
3,152,13,711
3,178,17,711
3,52,1,712
3,85,2,712
3,107,3,712
3,141,4,712
3,164,5,712
3,314,6,712
3,262,9,712
3,312,11,712
3,178,17,712
3,158,38,712
3,52,1,713
3,85,2,713
3,107,3,713
3,144,4,713
3,259,5,713
3,339,6,713
3,262,9,713
3,312,11,713
3,256,17,713
3,158,38,713
3,53,1,714
3,84,2,714
3,112,3,714
3,144,4,714
3,259,5,714
3,340,6,714
3,262,9,714
3,312,11,714
3,256,17,714
3,157,38,714
3,53,1,716
3,84,2,716
3,112,3,716
3,144,4,716
3,259,5,716
3,340,6,716
3,262,9,716
3,215,11,716
3,256,17,716
3,157,38,716
3,269,1,717
3,271,2,717
3,12,3,717
3,340,6,717
3,185,7,717
3,194,8,717
3,262,9,717
3,215,11,717
3,181,17,717
3,14,38,717
3,269,1,718
3,80,2,718
3,12,3,718
3,340,6,718
3,185,7,718
3,194,8,718
3,262,9,718
3,215,11,718
3,256,17,718
3,14,38,718
3,51,1,719
3,73,2,719
3,103,3,719
3,328,4,719
3,253,6,719
3,262,9,719
3,215,11,719
3,329,12,719
3,154,13,719
3,181,17,719
3,134,58,719
3,65,1,720
3,74,2,720
3,129,3,720
3,184,7,720
3,338,8,720
3,262,9,720
3,213,12,720
3,182,17,720
3,129,57,720
3,109,58,720
3,56,1,721
3,79,2,721
3,105,3,721
3,145,4,721
3,166,5,721
3,252,6,721
3,262,9,721
3,312,11,721
3,213,12,721
3,56,57,721
3,54,1,722
3,76,2,722
3,274,3,722
3,150,4,722
3,307,5,722
3,276,6,722
3,262,9,722
3,329,12,722
3,76,57,722
3,268,1,723
3,75,2,723
3,124,3,723
3,150,4,723
3,170,5,723
3,276,6,723
3,262,9,723
3,329,12,723
3,170,57,723
3,45,1,725
