考勤ID,考勤类型ID,学生ID,时间
134324,9900300,13893,2018/1/27 12:21
134346,9900300,13667,2018/1/27 12:41
134367,9900300,13925,2018/1/27 14:13
134263,9900300,13774,2018/1/27 11:18
134480,9900200,13774,2018/1/27 14:42
134572,9900200,14040,2018/1/27 15:02
134502,9900200,13860,2018/1/27 14:44
134568,9900200,13866,2018/1/27 14:57
137099,9900400,13949,2018/5/28 7:00
137108,9900100,14690,2018/5/28 7:28
137262,9900400,13849,2018/5/30 11:08
137358,9900400,13949,2018/6/1 6:59
137367,9900500,13949,2018/6/1 7:19
137516,9900400,14825,2018/6/4 6:49
137520,9900500,14825,2018/6/4 6:53
137607,9900500,13860,2018/6/6 9:24
137545,9900400,14550,2018/6/4 16:33
139692,9900400,15928,2018/10/14 12:33
139631,9900400,15939,2018/10/14 10:05
139656,9900500,15939,2018/10/14 10:32
139684,9900500,15931,2018/10/14 12:09
139701,9900500,15928,2018/10/14 14:20
139736,9900100,14314,2018/10/16 8:12
139768,9900400,14889,2018/10/17 9:46
138525,9900400,14825,2018/9/10 6:49
138526,9900400,14714,2018/9/10 6:50
138556,9900400,14825,2018/9/11 6:53
138563,9900400,14550,2018/9/12 15:44
138660,9900400,14903,2018/9/16 10:36
138661,9900400,14899,2018/9/16 10:36
138559,9900200,14825,2018/9/11 7:06
138678,9900500,15939,2018/9/16 12:05
138688,9900500,15931,2018/9/16 12:26
132993,9900100,13860,2017/12/22 7:29
133227,9900100,13893,2018/1/15 7:26
130641,9900200,14230,2016/11/18 7:03
142478,9900400,14903,2019/1/14 12:06
142488,9900500,14899,2019/1/14 18:19
142489,9900500,14903,2019/1/14 18:19
142496,9900200,14317,2019/1/15 7:15
142559,9900100,14314,2019/1/17 8:31
142477,9900400,14899,2019/1/14 12:06
142594,9900100,15482,2019/1/18 7:27
139903,9900400,15928,2018/10/21 10:17
139925,9900500,15928,2018/10/21 11:58
134934,9900100,13774,2018/4/3 7:30
134833,9900300,13860,2018/3/15 11:38
134899,9900200,13667,2018/3/23 7:04
130331,9900300,12471,2016/9/19 17:02
130226,9900300,12467,2016/9/19 16:40
130227,9900300,12467,2016/9/19 16:40
130236,9900300,12680,2016/9/19 16:41
130348,9900300,12806,2016/9/20 11:31
130539,9900200,13905,2016/10/28 7:45
134451,9900200,13512,2018/1/27 14:39
134473,9900200,13781,2018/1/27 14:41
134407,9900200,14092,2018/1/27 14:35
134566,9900200,14100,2018/1/27 14:54
134578,9900200,14026,2018/1/27 15:05
134579,9900200,14026,2018/1/27 15:08
134486,9900200,13668,2018/1/27 14:42
134588,9900300,13781,2018/1/27 15:29
134688,9900300,14092,2018/1/29 15:37
137101,9900400,14026,2018/5/28 7:00
137357,9900400,14026,2018/6/1 6:59
137366,9900500,14026,2018/6/1 7:19
139673,9900500,15948,2018/10/14 12:03
139691,9900400,15959,2018/10/14 12:33
139702,9900500,15959,2018/10/14 14:20
139659,9900500,15940,2018/10/14 11:12
139663,9900500,15923,2018/10/14 11:39
138340,9900100,14819,2018/7/3 7:28
130464,9900100,13521,2016/10/11 7:27
130484,9900200,13521,2016/10/13 7:24
130674,9900100,13521,2016/11/22 7:29
139902,9900400,15959,2018/10/21 10:17
139940,9900400,15940,2018/10/21 13:11
139943,9900500,15940,2018/10/21 13:57
139900,9900400,15948,2018/10/21 10:12
139926,9900500,15959,2018/10/21 11:58
139985,9900400,14819,2018/10/23 7:27
139929,9900500,15948,2018/10/21 12:01
140020,9900100,14309,2018/10/24 7:47
134848,9900300,13937,2018/3/15 15:33
135015,9900300,14026,2018/4/17 7:02
130112,9900100,13521,2016/9/2 7:28
130516,9900200,13803,2016/10/28 7:11
136527,9900500,14026,2018/5/17 7:22
138484,9900400,14542,2018/9/6 6:29
138485,9900500,14542,2018/9/6 6:35
138523,9900500,14542,2018/9/10 6:48
138571,9900400,14542,2018/9/13 6:35
138573,9900500,14542,2018/9/13 6:42
138599,9900200,14650,2018/9/14 7:00
138685,9900500,14910,2018/9/16 12:22
138752,9900400,14542,2018/9/19 6:36
132977,9900100,13543,2017/12/20 7:27
133000,9900200,13653,2017/12/18 13:30
133097,9900200,13653,2017/12/25 7:30
133100,9900200,12999,2017/12/26 7:25
133122,9900100,13543,2018/1/3 7:28
133203,9900100,13024,2018/1/10 7:30
133219,9900100,13024,2018/1/12 7:27
134220,9900200,13696,2018/1/27 11:07
134475,9900200,13506,2018/1/27 14:41
