学期-班级-班主任ID,学生ID
1,14454
1,14479
1,14486
2,14549
3,14550
4,14551
5,14552
4,14553
6,14554
7,14555
4,14556
8,14557
8,14558
3,14559
8,14560
9,14561
9,14562
3,14563
2,14637
10,14564
7,14565
5,14566
7,14567
5,14568
6,14569
11,14911
2,14570
2,14571
5,14572
8,14573
5,14574
2,14575
2,14576
10,14577
4,14578
2,14579
5,14580
8,14582
7,14583
7,14584
9,14585
9,14586
7,14587
2,14588
6,14589
8,14590
6,14591
3,14592
8,14593
5,14594
9,14595
5,14596
8,14597
9,14598
12,14599
5,14600
2,14601
12,14602
4,14603
8,14604
12,14605
7,14606
12,14607
12,14608
9,14609
8,14610
4,14720
7,14611
6,14612
5,14613
3,14614
12,14615
6,14616
5,14617
2,14618
9,14619
7,14620
12,14621
6,14622
7,14623
8,14624
6,14625
6,14626
6,14627
8,14628
3,14629
6,14630
3,14631
9,14632
7,14633
3,14634
12,14635
6,14636
3,14638
3,14639
12,14824
4,14640
12,14641
8,14676
9,14642
8,14643
7,14644
8,14645
8,14646
6,14647
8,14648
12,14649
5,14650
2,14651
12,14652
8,14653
2,14654
2,14655
13,14908
8,14656
12,14657
2,14658
6,14659
4,14660
7,14661
5,14662
4,14663
9,14664
9,14665
3,14666
7,14667
7,14668
7,14669
9,14670
6,14671
9,14672
12,14673
2,14674
12,14675
9,14677
7,14678
8,14679
2,14680
3,14681
4,14682
2,14683
5,14684
12,14685
9,14686
3,14687
4,14688
7,14689
3,14690
2,14691
9,14692
6,14693
5,14694
8,14695
12,14696
2,14697
5,14698
3,14699
3,14700
6,14701
3,14702
6,14703
3,14704
5,14705
7,14706
6,14707
3,14708
12,14709
9,14871
9,14710
2,14711
6,14712
7,14713
3,14714
6,14715
10,14716
2,14717
5,14718
2,14719
5,14721
9,14722
5,14723
4,14724
4,14725
8,14726
4,14727
2,14728
3,14729
12,14730
5,14731
4,14732
4,14733
2,14734
2,14735
6,14736
8,14737
4,14738
8,14739
7,14740
8,14741
12,14742
6,14743
12,14744
5,14745
3,14746
12,14747
5,14748
8,14749
4,14750
4,14751
12,14752
6,14753
12,14754
5,14755
9,14756
12,14757
8,14758
3,14759
6,14760
13,14922
7,14761
6,14762
4,14763
2,14764
7,14765
3,14766
6,14767
9,14768
8,14769
5,14770
3,14771
2,14772
3,14773
2,14774
5,14775
8,14776
3,14777
12,14778
5,14779
4,14780
4,14781
8,14782
6,14783
9,14784
5,14785
6,14786
4,14787
8,14788
7,14789
7,14790
6,14791
3,14792
4,14793
7,14794
4,14795
3,14796
7,14797
9,14798
4,14799
6,14856
6,14800
6,14801
3,14802
3,14803
2,14804
12,14805
9,14806
7,14807
5,14808
12,14809
7,14810
5,14811
4,14812
2,14813
7,14814
8,14815
5,14816
9,14817
4,14876
7,14818
3,14819
12,14820
9,14821
9,14822
2,14823
3,14825
4,14826
8,14827
5,14828
8,14829
7,14830
5,14831
4,14832
7,14833
2,14834
9,14835
4,14836
3,14837
4,14838
2,14839
2,14840
5,14841
2,14842
5,14843
9,14844
12,14845
9,14846
7,14847
3,14848
2,14849
2,14850
12,14851
9,14852
12,14853
7,14854
2,14855
6,14857
7,14858
6,14859
7,14860
11,14921
4,14861
12,14862
5,14882
6,14863
7,14864
8,14865
5,14866
5,14867
5,14868
3,14869
7,14870
9,14872
4,14873
3,14874
3,14875
12,14877
2,14878
12,14879
3,14880
4,14881
7,14883
13,14896
13,14897
11,14898
13,14899
13,14900
13,14901
13,14902
13,14903
11,14904
13,14905
11,14906
11,14907
11,14909
11,14910
13,14912
11,14913
4,14914
11,14915
13,14916
