考试ID,考试开始时间,考试类型,学科ID,学期ID
136424,2017/9/20 0:00,7,17,1
136411,2017/9/20 0:00,7,59,1
137112,2017/11/15 0:00,2,2,1
136833,2017/11/15 0:00,2,1,1
136517,2017/9/20 0:00,7,3,1
135556,2017/6/28 0:00,5,8,2
135558,2017/6/28 0:00,5,17,2
135559,2017/6/28 0:00,5,59,2
135582,2017/6/28 0:00,5,1,2
135583,2017/6/28 0:00,5,2,2
135720,2017/6/28 0:00,3,7,2
135721,2017/6/28 0:00,3,8,2
136504,2017/9/20 0:00,7,4,1
135725,2017/6/28 0:00,3,17,2
135738,2017/6/28 0:00,3,1,2
136491,2017/9/20 0:00,7,5,1
136478,2017/9/20 0:00,7,6,1
135739,2017/6/28 0:00,3,2,2
135740,2017/6/28 0:00,3,3,2
136465,2017/9/20 0:00,7,7,1
136935,2017/11/15 0:00,2,3,1
137093,2017/11/15 0:00,2,4,1
137077,2017/11/15 0:00,2,5,1
135741,2017/6/28 0:00,3,4,2
135726,2017/6/28 0:00,3,1,2
135727,2017/6/28 0:00,3,2,2
135728,2017/6/28 0:00,3,3,2
135729,2017/6/28 0:00,3,4,2
135730,2017/6/28 0:00,3,5,2
135731,2017/6/28 0:00,3,6,2
135732,2017/6/28 0:00,3,7,2
135733,2017/6/28 0:00,3,8,2
135737,2017/6/28 0:00,3,17,2
135742,2017/6/28 0:00,3,5,2
135743,2017/6/28 0:00,3,6,2
135744,2017/6/28 0:00,3,7,2
135745,2017/6/28 0:00,3,8,2
134630,2017/5/25 0:00,7,2,2
134631,2017/5/25 0:00,7,3,2
134604,2017/5/25 0:00,7,1,2
134592,2017/5/25 0:00,7,1,2
134593,2017/5/25 0:00,7,2,2
135749,2017/6/28 0:00,3,17,2
136954,2017/11/15 0:00,2,2,1
137133,2017/11/15 0:00,2,1,1
123882,2014/11/27 0:00,9,1,3
123854,2014/11/27 0:00,9,3,3
123860,2014/11/27 0:00,9,2,3
127722,2015/11/2 0:00,2,1,4
127441,2015/11/2 0:00,2,2,4
127723,2015/11/2 0:00,2,1,4
137039,2017/11/15 0:00,2,8,1
137099,2017/11/15 0:00,2,3,1
137100,2017/11/15 0:00,2,3,1
137117,2017/11/15 0:00,2,2,1
127446,2015/11/2 0:00,2,2,4
127443,2015/11/2 0:00,2,2,4
137107,2017/11/15 0:00,2,3,1
137126,2017/11/15 0:00,2,1,1
137068,2017/11/15 0:00,2,6,1
136851,2017/11/15 0:00,2,17,1
136452,2017/9/20 0:00,7,8,1
134605,2017/5/25 0:00,7,2,2
127479,2015/11/2 0:00,2,17,4
127591,2015/11/2 0:00,2,17,4
134606,2017/5/25 0:00,7,3,2
134594,2017/5/25 0:00,7,3,2
127592,2015/11/2 0:00,2,17,4
134610,2017/5/25 0:00,7,1,2
134611,2017/5/25 0:00,7,2,2
134580,2017/5/25 0:00,7,1,2
127721,2015/11/2 0:00,2,2,4
127541,2015/11/2 0:00,2,4,4
134612,2017/5/25 0:00,7,3,2
134581,2017/5/25 0:00,7,2,2
127733,2015/11/2 0:00,2,1,4
127687,2015/11/2 0:00,2,4,4
135095,2016/6/20 0:00,5,11,2
134582,2017/5/25 0:00,7,3,2
134600,2017/5/25 0:00,7,3,2
123957,2014/12/15 0:00,6,3,3
125046,2015/1/31 0:00,3,1,3
124654,2015/1/31 0:00,5,1,3
127478,2015/11/2 0:00,2,17,4
135940,2017/6/28 0:00,3,6,2
134617,2017/5/25 0:00,7,1,2
135762,2017/6/28 0:00,3,1,2
135750,2017/6/28 0:00,3,1,2
136426,2017/9/20 0:00,7,17,1
136413,2017/9/20 0:00,7,59,1
135751,2017/6/28 0:00,3,2,2
127731,2015/11/2 0:00,2,1,4
127729,2015/11/2 0:00,2,1,4
127480,2015/11/2 0:00,2,17,4
134618,2017/5/25 0:00,7,2,2
135083,2016/6/20 0:00,5,11,2
135012,2016/6/20 0:00,5,11,2
127724,2015/11/2 0:00,2,1,4
137119,2017/11/15 0:00,2,2,1
135107,2016/6/20 0:00,5,11,2
135232,2016/6/20 0:00,5,9,2
137069,2017/11/15 0:00,2,6,1
137071,2017/11/15 0:00,2,6,1
127525,2015/11/2 0:00,2,6,4
127502,2015/11/2 0:00,2,8,4
127543,2015/11/2 0:00,2,4,4
127572,2015/11/2 0:00,2,1,4
135011,2016/6/20 0:00,5,9,2
137072,2017/11/15 0:00,2,6,1
137087,2017/11/15 0:00,2,4,1
127568,2015/11/2 0:00,2,1,4
127526,2015/11/2 0:00,2,6,4
135118,2016/6/20 0:00,5,9,2
137046,2017/11/15 0:00,2,8,1
136852,2017/11/15 0:00,2,17,1
127760,2015/11/2 0:00,2,38,4
127537,2015/11/2 0:00,2,5,4
135938,2017/6/28 0:00,3,4,2
135070,2016/6/20 0:00,5,9,2
136860,2017/11/15 0:00,2,17,1
137073,2017/11/15 0:00,2,5,1
135937,2017/6/28 0:00,3,3,2
135705,2017/6/28 0:00,3,4,2
127522,2015/11/2 0:00,2,6,4
127438,2015/11/2 0:00,2,2,4
137108,2017/11/15 0:00,2,3,1
136956,2017/11/15 0:00,2,2,1
135082,2016/6/20 0:00,5,9,2
135243,2016/6/20 0:00,5,9,2
127533,2015/11/2 0:00,2,5,4
127676,2015/11/2 0:00,2,5,4
135752,2017/6/28 0:00,3,3,2
136960,2017/11/15 0:00,2,1,1
137094,2017/11/15 0:00,2,4,1
136939,2017/11/15 0:00,2,3,1
135935,2017/6/28 0:00,3,1,2
127577,2015/11/2 0:00,2,1,4
135753,2017/6/28 0:00,3,4,2
135754,2017/6/28 0:00,3,5,2
137104,2017/11/15 0:00,2,3,1
136967,2017/11/15 0:00,2,1,1
135221,2016/6/20 0:00,5,9,2
127430,2015/11/2 0:00,2,3,4
127416,2015/11/2 0:00,2,5,4
127447,2015/11/2 0:00,2,2,4
127590,2015/11/2 0:00,2,17,4
127594,2015/11/2 0:00,2,17,4
135755,2017/6/28 0:00,3,6,2
134619,2017/5/25 0:00,7,3,2
136659,2017/10/16 0:00,6,3,1
127570,2015/11/2 0:00,2,1,4
135756,2017/6/28 0:00,3,7,2
127569,2015/11/2 0:00,2,1,4
127739,2015/11/2 0:00,2,6,4
134623,2017/5/25 0:00,7,1,2
127487,2015/11/2 0:00,2,17,4
137135,2017/11/15 0:00,2,1,1
137103,2017/11/15 0:00,2,3,1
137091,2017/11/15 0:00,2,4,1
127398,2015/11/2 0:00,2,7,4
135210,2016/6/20 0:00,5,9,2
135690,2017/6/28 0:00,3,1,2
135131,2016/6/20 0:00,5,11,2
136646,2017/10/16 0:00,6,4,1
136633,2017/10/16 0:00,6,5,1
135757,2017/6/28 0:00,3,8,2
135761,2017/6/28 0:00,3,17,2
127483,2015/11/2 0:00,2,17,4
127484,2015/11/2 0:00,2,17,4
135763,2017/6/28 0:00,3,2,2
135764,2017/6/28 0:00,3,3,2
134624,2017/5/25 0:00,7,2,2
134625,2017/5/25 0:00,7,3,2
134574,2017/5/25 0:00,7,1,2
127405,2015/11/2 0:00,2,6,4
127444,2015/11/2 0:00,2,2,4
135765,2017/6/28 0:00,3,4,2
134575,2017/5/25 0:00,7,2,2
135060,2016/6/20 0:00,5,12,2
136620,2017/10/16 0:00,6,6,1
137042,2017/11/15 0:00,2,8,1
135766,2017/6/28 0:00,3,5,2
134576,2017/5/25 0:00,7,3,2
137044,2017/11/15 0:00,2,8,1
137070,2017/11/15 0:00,2,6,1
135767,2017/6/28 0:00,3,6,2
135768,2017/6/28 0:00,3,7,2
127734,2015/11/2 0:00,2,6,4
127437,2015/11/2 0:00,2,3,4
127563,2015/11/2 0:00,2,2,4
127553,2015/11/2 0:00,2,3,4
127562,2015/11/2 0:00,2,2,4
134629,2017/5/25 0:00,7,1,2
136828,2017/11/15 0:00,2,1,1
135769,2017/6/28 0:00,3,8,2
135177,2016/6/20 0:00,5,9,2
127520,2015/11/2 0:00,2,6,4
127453,2015/11/2 0:00,2,1,4
137132,2017/11/15 0:00,2,1,1
135059,2016/6/20 0:00,5,11,2
135773,2017/6/28 0:00,3,17,2
127456,2015/11/2 0:00,2,1,4
135786,2017/6/28 0:00,3,1,2
135775,2017/6/28 0:00,3,2,2
127420,2015/11/2 0:00,2,4,4
127457,2015/11/2 0:00,2,1,4
127716,2015/11/2 0:00,2,2,4
127690,2015/11/2 0:00,2,4,4
136961,2017/11/15 0:00,2,1,1
136508,2017/9/20 0:00,7,4,1
135776,2017/6/28 0:00,3,3,2
136495,2017/9/20 0:00,7,5,1
136482,2017/9/20 0:00,7,6,1
136430,2017/9/20 0:00,7,17,1
135777,2017/6/28 0:00,3,4,2
125373,2015/4/22 0:00,9,1,5
137034,2017/11/15 0:00,2,8,1
136524,2017/9/20 0:00,7,3,1
136511,2017/9/20 0:00,7,4,1
127454,2015/11/2 0:00,2,1,4
127738,2015/11/2 0:00,2,6,4
123878,2014/11/27 0:00,9,1,3
123850,2014/11/27 0:00,9,3,3
127694,2015/11/2 0:00,2,4,4
127429,2015/11/2 0:00,2,3,4
135778,2017/6/28 0:00,3,5,2
127451,2015/11/2 0:00,2,1,4
127598,2015/11/2 0:00,2,17,4
127600,2015/11/2 0:00,2,17,4
127555,2015/11/2 0:00,2,3,4
137035,2017/11/15 0:00,2,8,1
123844,2014/11/27 0:00,9,4,3
123857,2014/11/27 0:00,9,3,3
123993,2014/12/15 0:00,6,57,3
123954,2014/12/15 0:00,6,4,3
127527,2015/11/2 0:00,2,6,4
127712,2015/11/2 0:00,2,2,4
136498,2017/9/20 0:00,7,5,1
127399,2015/11/2 0:00,2,7,4
127459,2015/11/2 0:00,2,1,4
125314,2015/4/22 0:00,9,8,5
135779,2017/6/28 0:00,3,6,2
127601,2015/11/2 0:00,2,17,4
127743,2015/11/2 0:00,2,6,4
127699,2015/11/2 0:00,2,3,4
135780,2017/6/28 0:00,3,7,2
135787,2017/6/28 0:00,3,2,2
135788,2017/6/28 0:00,3,3,2
127422,2015/11/2 0:00,2,4,4
127508,2015/11/2 0:00,2,7,4
136485,2017/9/20 0:00,7,6,1
136472,2017/9/20 0:00,7,7,1
127565,2015/11/2 0:00,2,2,4
127499,2015/11/2 0:00,2,8,4
127509,2015/11/2 0:00,2,7,4
127500,2015/11/2 0:00,2,8,4
127439,2015/11/2 0:00,2,2,4
136459,2017/9/20 0:00,7,8,1
127506,2015/11/2 0:00,2,8,4
127427,2015/11/2 0:00,2,3,4
136433,2017/9/20 0:00,7,17,1
127433,2015/11/2 0:00,2,3,4
136420,2017/9/20 0:00,7,59,1
136417,2017/9/20 0:00,7,59,1
127643,2015/11/2 0:00,2,8,4
136425,2017/9/20 0:00,7,17,1
136412,2017/9/20 0:00,7,59,1
127407,2015/11/2 0:00,2,6,4
